Level,Course,Lesson,Lesson Title,Severity,Exact Location,Specific Issue,Recommended Solution,Source URL,Status
Middle School,1 – Basic Nutrition,11,Special Dietary Needs,Critical,Reading: allergy statement; Activity; Quiz Q4 and Q6,"The reading says food allergies “require epinephrine,” which is too broad; not every reaction is treated the same. Diabetes guidance is generalized, and the lactose-intolerance answer implies avoiding milk entirely rather than using lactose-free or tolerated dairy.",Say epinephrine is the first-line emergency treatment for suspected anaphylaxis and students must follow their medical plan. Avoid prescribing disease diets; use clinician-directed plans. Include lactose-free milk/yogurt and fortified alternatives.,https://wellsnaxteam.github.io/curriculum/lesson-1-11.html,Open
Middle School,2 – Hydration,1,Water's Role in Your Body,Medium,Reading: body-water facts,"“Even more for a child” and “blood is 80% water” are presented as fixed facts, while the reading uses advanced biochemical wording for middle school.","Use approximate ranges and age-appropriate language. Replace biochemical phrases with concrete functions such as transport, temperature control, digestion and waste removal.",https://wellsnaxteam.github.io/curriculum/lesson-2-1.html,Open
Middle School,2 – Hydration,2,Daily Hydration Guidelines,Critical,Reading: 6–8 cups; beverage list; activity calculator,"A single 6–8 cup water target is treated as a universal recommendation, and coffee is listed as a recommended beverage for 11–14-year-olds. The online calculator asks minors for height, weight and gender without privacy guidance.",Use total-water ranges by age/sex from an authoritative source while emphasizing individual variation and food moisture. Do not recommend coffee to this age group. Remove personal-data calculators or use anonymous classroom examples.,https://wellsnaxteam.github.io/curriculum/lesson-2-2.html,Open
Middle School,2 – Hydration,3,Building Daily Hydration Habits,High,Reading: “If you are thirsty…”; product reference,"“If you are thirsty, you are already dehydrated” is too absolute, and naming Cirkul is unnecessary product placement.","Say thirst is an early signal to drink, but needs vary and thirst is not a perfect measure. Replace the brand with “unsweetened or low-sugar flavor options.”",https://wellsnaxteam.github.io/curriculum/lesson-2-3.html,Open
Middle School,2 – Hydration,4,Dehydration and its Effects,Critical,Reading: urine color chart; Quiz Q7 and Q10,"Clear urine is labeled overhydration, dark brown urine is labeled severe dehydration, and chest pain is grouped with signs to simply stop and drink. Quiz Q10 incorrectly implies the circulatory system is uniquely most affected.","Explain urine color is only a rough screening tool and can be affected by medicines, foods and illness. Dark brown urine, confusion or chest pain require immediate adult/medical help. Remove the “most affected system” question.",https://wellsnaxteam.github.io/curriculum/lesson-2-4.html,Open
Middle School,2 – Hydration,5,Water vs. Other Beverages,High,Reading: beverage comparison,"The lesson risks treating all sports drinks, juice, milk, tea and water as universally good or bad without considering exercise duration, caffeine or portion.",Use scenario-based guidance: water for routine hydration; milk can contribute nutrients; juice in modest portions; sports drinks mainly for prolonged/intense activity or clinician guidance; avoid energy drinks.,https://wellsnaxteam.github.io/curriculum/lesson-2-5.html,Open
Middle School,2 – Hydration,6,Hydration in Different Scenarios,High,Reading/activity: scenarios,"Hydration recommendations need specific heat, duration and intensity context; otherwise students may overdrink or misuse sports drinks.","Add a decision tree for normal school day, short practice, long/hot practice, illness and travel. Include coach/athletic trainer instructions and warning signs requiring adult help.",https://wellsnaxteam.github.io/curriculum/lesson-2-6.html,Open
Middle School,2 – Hydration,7,Monitoring Your Hydration,High,Reading: urine monitoring and self-tracking,Frequent urine-color tracking can become obsessive and is not reliable enough to be the “best” measure for every student.,"Present thirst, access to fluids, urine frequency/color trends and symptoms as combined clues. Avoid daily scoring or public reporting of bathroom-related data.",https://wellsnaxteam.github.io/curriculum/lesson-2-7.html,Open
Middle School,2 – Hydration,8,Hydration and Health Conditions,Critical,Reading: medical conditions,"Hydration advice for kidney, heart, endocrine or other health conditions can become medical treatment guidance.","State clearly that students with fluid restrictions or medical conditions must follow their clinician and school health plan. Keep the lesson focused on why individual advice can differ, not disease-specific prescriptions.",https://wellsnaxteam.github.io/curriculum/lesson-2-8.html,Open
Middle School,3 – Healthy Snacking,1,What is Snacking?,High,Reading; Activity ranking; Quiz Q9,"Snacking is defined as eating to “keep the body full,” foods are divided into healthy/unhealthy, and the quiz claims experts generally recommend one to three snacks daily. Snack needs are individual.","Define snacking neutrally as eating between meals for hunger, enjoyment or activity needs. Remove the universal snack-frequency rule. Have students compare strengths/tradeoffs rather than rank foods morally.",https://wellsnaxteam.github.io/curriculum/lesson-3-1.html,Open
Middle School,3 – Healthy Snacking,2,Snack Nutrients and Fueling the Body,Critical,Reading opening and balanced-snack formula,"Fiber is listed as one of six main nutrients instead of water, and every balanced snack is required to include carbohydrate, protein, fruit/vegetable and healthy fat—an unrealistic universal formula.","Correct the six essential nutrient categories to carbohydrates, protein, fat, vitamins, minerals and water; explain fiber is a type of carbohydrate. Teach flexible pairings, such as carbohydrate plus protein, based on hunger and timing.",https://wellsnaxteam.github.io/curriculum/lesson-3-2.html,Open
Middle School,3 – Healthy Snacking,3,Reading Snack Labels,High,Reading: calorie/sodium/protein thresholds,"The fixed 100/200-calorie snack categories and universal sodium, fiber and protein targets are arbitrary and can encourage calorie fixation.",Remove “light/moderate/heavy” calorie labels. Teach serving context and compare similar products using %DV and ingredient quality. Avoid prescribing one snack target to all adolescents.,https://wellsnaxteam.github.io/curriculum/lesson-3-3.html,Open
Middle School,3 – Healthy Snacking,4,Smart Swaps and Building Better Habits,High,Reading: swaps and hunger/dehydration claim,"Several swaps are not nutritionally equivalent, nuts may have more sodium than crackers, and “hunger may actually be dehydration” can teach students to suppress hunger.","Describe swaps as options with different benefits, not automatic upgrades. Replace the hunger statement with: thirst and hunger can sometimes feel similar; respond to both by checking when you last ate and drank.",https://wellsnaxteam.github.io/curriculum/lesson-3-4.html,Open
Middle School,3 – Healthy Snacking,5,The Impact of Snack Choices on the Body,Critical,Reading: immediate/long-term outcomes,"The lesson says sugary snacks cause brain fog and diabetes, salty/fried snacks cause inflammation and heart disease, and healthy snacks sharpen focus and prevent chronic illness. These are deterministic and stigmatizing.","Use pattern-based language: frequent high-added-sugar or high-sodium intake can contribute to risk over time; one snack does not determine health. Focus on dental health, fullness, energy availability and overall dietary pattern.",https://wellsnaxteam.github.io/curriculum/lesson-3-5.html,Open
Middle School,3 – Healthy Snacking,6,Snacking in Different Scenarios,High,Reading: sports examples; Activity,"Pre-practice examples include higher-fat/protein foods 30 minutes before exercise, which may cause discomfort. The activity asks for healthy vs. unhealthy lists.",Organize choices by time before activity: under 60 minutes emphasize easy-to-digest carbohydrate; 1–3 hours allow more protein/fat. Replace binary lists with “better fit / less ideal for this timing” and explain why.,https://wellsnaxteam.github.io/curriculum/lesson-3-6.html,Open
Middle School,3 – Healthy Snacking,7,Snack Marketing and Advertising Claims,High,Reading: marketing claims,"Statements such as “low fat means extra sugar or sodium was added” are framed as always true, and “10 companies make most snacks” is unsupported in the lesson.","Use “may” and require label verification. Cite or remove the market-concentration statement. Distinguish regulated FDA terms from vague words such as natural, wholesome or clean.",https://wellsnaxteam.github.io/curriculum/lesson-3-7.html,Open
Middle School,3 – Healthy Snacking,8,Food Allergies: Safe and Inclusive Snacking,Critical,Reading/activity: allergy safety,"Any allergy lesson must clearly distinguish intolerance, allergy and anaphylaxis and avoid asking students to investigate or handle classmates’ allergens.","Use school emergency-plan language, no food-sharing, label checking and cross-contact prevention. State that epinephrine is first-line for suspected anaphylaxis and emergency services/adults must be contacted.",https://wellsnaxteam.github.io/curriculum/lesson-3-8.html,Open
Middle School,4 – Healthy Routines,1,Understanding Habits and Health,High,Reading/activity: habit formation,"Habit messaging can imply students have complete control despite family schedule, finances, disability, culture and food access.",Teach cue–routine–reward and environment design while explicitly acknowledging constraints. Let students choose one realistic behavior they control.,https://wellsnaxteam.github.io/curriculum/lesson-4-1.html,Open
Middle School,4 – Healthy Routines,2,Nutrition Routines,High,Reading/activity: daily routines,Rigid meal timing and “healthy routine” language can shame students whose schedules or hunger cues differ.,"Use flexible anchors and planning options. Emphasize regular opportunities to eat, internal hunger/fullness cues and individualized routines.",https://wellsnaxteam.github.io/curriculum/lesson-4-2.html,Open
Middle School,4 – Healthy Routines,3,Breakfast Routines,High,Reading: skipping breakfast; Quiz,"Skipping breakfast is linked directly to irritability, poor memory and crashes, and breakfast is presented as mandatory for everyone.","Say breakfast can support energy and concentration for many students, especially when hungry, but individual appetite and schedules vary. Offer portable and school-breakfast options without guaranteeing outcomes.",https://wellsnaxteam.github.io/curriculum/lesson-4-3.html,Open
Middle School,4 – Healthy Routines,4,Lunch Routines,Medium,Reading: same-time eating and chewing,"Eating lunch at the same time and “chew thoroughly” are presented as health requirements, while school schedules often make this impossible.","Focus on allowing enough time to eat, including multiple food groups and preparing accessible choices. Avoid grading students on timing they cannot control.",https://wellsnaxteam.github.io/curriculum/lesson-4-4.html,Open
Middle School,4 – Healthy Routines,5,Dinner Routine,High,Reading: dinner improves sleep; after-dinner advice,"The lesson says dinner nutrients improve sleep and tells students to drink water if not satisfied, which can encourage ignoring hunger.",Remove the sleep guarantee. Tell students to respond to hunger with an appropriate snack; water can accompany food but should not replace food when hungry.,https://wellsnaxteam.github.io/curriculum/lesson-4-5.html,Open
High School,1 – Macronutrients,1,What are Macronutrients?,Critical,"Reading opening/table/bottom line; Quiz Q3, Q5, Q7","The lesson attributes current mood and focus “literally” to today’s food, promises better grades/skin/kidney function, says breakfast skipping slows metabolism and causes weight gain, uses fear-based “fueling up or breaking down,” and includes college-level mechanisms.","Rewrite all causal claims as qualified associations; remove metabolism/weight-gain and appearance promises; use non-fear-based language. Simplify the quiz to applied high-school concepts and avoid reactive hypoglycemia, fat oxidation and gastric-emptying claims unless taught accurately.",https://wellsnaxteam.github.io/curriculum/hs-1-1.html,Open
High School,1 – Macronutrients,2,Understanding Carbohydrates,High,Reading: simple/complex carbs and glycemic response,"Carbohydrates are likely divided into good/complex versus bad/simple categories, which is biologically incomplete and can stigmatize useful sport fuels.","Teach carbohydrate quality through fiber, processing, portion and timing. Explain that simple carbohydrates can be appropriate during prolonged activity and that whole grains/fruit generally add fiber and micronutrients.",https://wellsnaxteam.github.io/curriculum/hs-1-2.html,Open
High School,1 – Macronutrients,3,Understanding Proteins,High,Reading: protein needs/recovery; Activity,Protein lessons often imply more protein equals more muscle or faster recovery and may encourage supplement use or gram tracking in minors.,"Center adequate total energy, training and distribution across meals. Use food-first examples, note that needs vary, and require clinician/dietitian guidance before supplements or individualized targets.",https://wellsnaxteam.github.io/curriculum/hs-1-3.html,Open
High School,1 – Macronutrients,4,Understanding Fats,High,Reading: fat types and outcomes,"The lesson risks labeling saturated fat foods as inherently bad and assigning immediate brain, skin or hormone outcomes to individual fat choices.","Teach unsaturated, saturated and trans fats accurately; focus on overall patterns and food sources. Remove appearance promises and explain that dietary fat supports absorption and energy but timing matters before exercise.",https://wellsnaxteam.github.io/curriculum/hs-1-4.html,Open
High School,1 – Macronutrients,5,Macronutrient Balance,High,Reading/activity: percentage targets,Fixed macro percentages or an ideal plate may be presented as appropriate for every student and athlete.,"Use acceptable ranges only as general education, not prescriptions. Build sample meals for different schedules and hunger levels and explain individual needs vary by growth, sport, access and medical needs.",https://wellsnaxteam.github.io/curriculum/hs-1-5.html,Open
High School,1 – Macronutrients,6,Macronutrients and Physical Activity,Critical,"Reading/quiz: pre-, during- and post-exercise fueling",Specific sport-fueling recommendations can become individualized medical/performance advice and may overstate protein timing or carbohydrate rules.,Organize by activity duration/intensity and time available before exercise. Add hydration/heat safety and a statement that athletes with medical conditions or high training loads should follow a sports dietitian/medical team.,https://wellsnaxteam.github.io/curriculum/hs-1-6.html,Open
High School,1 – Macronutrients,7,Counting Macronutrients,Critical,Entire lesson/activity,"Teaching adolescents to count macros can promote restrictive eating, body surveillance and disordered-eating behaviors, especially without a clinical need.","Rename to “Estimating and Balancing Macronutrient Sources.” Use label literacy and meal-building examples without daily targets, food logging, weighing or personal macro goals. Add eating-disorder sensitivity guidance.",https://wellsnaxteam.github.io/curriculum/hs-1-7.html,Open
High School,2 – Micronutrients,1,What are Micronutrients?,Critical,Reading throughout; Quiz formatting,"The lesson attributes fatigue, acne, mood, school performance and athletic outcomes directly to micronutrients, says vitamin E is dermatologist-recommended for clear skin, and contains duplicated quiz fragments.",Remove diagnostic and cosmetic promises. State deficiencies require assessment and symptoms have many causes. Correct quiz numbering/duplicate True–False remnants and use established nutrient functions only.,https://wellsnaxteam.github.io/curriculum/hs-2-1.html,Open
High School,2 – Micronutrients,2,Key Vitamins: Fat Soluble,Critical,"Reading: D/K2 interaction, vitamin E recovery, sun exposure","The D2/K2 statement is questionable and too clinical, vitamin E is said to reduce soreness/fatigue and improve recovery, and students are encouraged toward sun exposure without sufficient skin-safety context.",Remove the D2/K2 calcium-routing claim unless a qualified dietitian supplies a strong citation. Describe vitamin E as an antioxidant nutrient without performance promises. Use safe-sun wording and clinician guidance for supplements.,https://wellsnaxteam.github.io/curriculum/hs-2-2.html,Open
High School,2 – Micronutrients,3,Key Vitamins: Water Soluble,High,"Reading: immunity, energy and excretion","Water-soluble vitamins are often described as directly giving energy, preventing illness or being harmless because excess is excreted.",Clarify that B vitamins help energy metabolism but do not provide calories; vitamin C supports normal immune function but does not guarantee fewer illnesses. Include supplement upper-limit and medication-interaction cautions.,https://wellsnaxteam.github.io/curriculum/hs-2-3.html,Open
High School,2 – Micronutrients,4,Key Minerals,Critical,Reading: cramps/performance and supplement implications,"The lesson may imply magnesium or potassium prevents cramps and improves athletic performance, while sodium guidance can be unsafe if generalized.",Explain exercise cramps are multifactorial. Teach food sources and normal functions without self-treating symptoms. Individual electrolyte or supplement plans should come from qualified professionals.,https://wellsnaxteam.github.io/curriculum/hs-2-4.html,Open
High School,3 – Reading Food Labels,1,Intro to Nutrition Facts Label,Medium,Reading/activity,"The label is taught as a health score rather than one tool, and the lesson needs a current FDA label example and explicit serving-size context.","Use the current Nutrition Facts format. Start with serving size/servings consumed, then %DV, and compare similar foods for a stated purpose rather than declaring one food healthy.",https://wellsnaxteam.github.io/curriculum/hs-3-1.html,Open
High School,3 – Reading Food Labels,2,Macronutrients and Calories on the Food Label,High,Reading/calculation activity,Heavy calorie and macro calculations can encourage fixation and may imply calories determine food quality.,"Use a small number of functional calculations for label literacy. Pair calories with serving size, nutrients and intended use; do not require personal calorie tracking.",https://wellsnaxteam.github.io/curriculum/hs-3-2.html,Open
High School,3 – Reading Food Labels,3,Micronutrients and Daily Percent Value,High,Reading: %DV interpretation,"%DV is based on a general 2,000-calorie reference and is not a personal requirement; students may mistake totals across foods as exact prescriptions.",Teach 5%/20% as comparison tools and state %DV is not individualized. Avoid having students chase 100% for every nutrient or diagnose deficiency from labels.,https://wellsnaxteam.github.io/curriculum/hs-3-3.html,Open
High School,3 – Reading Food Labels,4,Reading Ingredient Lists,High,Reading: ingredient quality/additives,Ingredient lists can be used to promote “clean eating” or imply unfamiliar/long names are harmful.,"Teach descending weight order, allergens, added sugars and whole-grain identification. Avoid fear of chemical names, seed oils or approved additives; evaluate the whole product and eating pattern.",https://wellsnaxteam.github.io/curriculum/hs-3-4.html,Open
High School,4 – Making Smart Food Choices,1,Understanding Dietary Guidelines,High,Reading: current guidelines,The lesson may rely on outdated or oversimplified guidance and present national guidelines as individualized rules.,"Cite the current Dietary Guidelines edition used, distinguish general population guidance from personal care, and include cultural relevance, affordability and access.",https://wellsnaxteam.github.io/curriculum/hs-4-1.html,Open
High School,4 – Making Smart Food Choices,2,Lifespan Nutrition,High,Reading: life stages,"Covering pregnancy, infancy, older adults and adolescence can become overly broad and medically prescriptive.",Keep the objective comparative: how needs change with growth and aging. Avoid meal plans or supplement instructions for pregnancy/infancy; direct those to clinicians.,https://wellsnaxteam.github.io/curriculum/hs-4-2.html,Open
High School,4 – Making Smart Food Choices,3,Individual Dietary Needs,Critical,Reading/activity,"Students may be asked to estimate personal needs using weight, sex or activity formulas, creating privacy and eating-disorder concerns.","Use fictional profiles and ranges. Do not collect students’ weights, calories or body goals. Include disability, culture, food security and medical-plan considerations.",https://wellsnaxteam.github.io/curriculum/hs-4-3.html,Open
High School,4 – Making Smart Food Choices,4,Building a Balanced Plate & Meal Planning,High,Activity,"Meal planning can become rigid, expensive and culturally narrow, and may duplicate middle-school content without added rigor.","Add budget, cafeteria, convenience, cultural and performance constraints. Grade tradeoff reasoning and adaptability rather than compliance with a single plate.",https://wellsnaxteam.github.io/curriculum/hs-4-4.html,Open
High School,4 – Making Smart Food Choices,5,Food Marketing Strategies,Medium,Reading/activity,Marketing analysis may overstate manipulation or fail to distinguish evidence-based regulated claims from branding.,"Have students identify audience, emotional appeal, influencer tactics, package design and regulated claims, then verify against label evidence and source credibility.",https://wellsnaxteam.github.io/curriculum/hs-4-5.html,Open
High School,4 – Making Smart Food Choices,6,Special Diets and Health Conditions,Critical,Entire lesson,"Teaching special diets can normalize self-diagnosis, fad diets or disease treatment by students.","Differentiate medically required diets, ethical/religious patterns and trends. Do not provide treatment plans. Use clinician-directed case studies and emphasize risks of unnecessary restriction.",https://wellsnaxteam.github.io/curriculum/hs-4-6.html,Open
High School,5 – Daily Fueling Basics,1,Energy and Calories,Critical,Reading/activity,Energy balance material can reduce health to weight change and prompt personal calorie calculations among minors.,"Teach energy as supporting growth, learning, organ function and activity. Use fictional examples, avoid weight-loss assignments and include genetic, developmental and environmental complexity.",https://wellsnaxteam.github.io/curriculum/hs-5-1.html,Open
High School,5 – Daily Fueling Basics,2,Macronutrients as Fuel,High,Reading,The lesson may repeat Course 1 without a new learning objective and overstate which fuel is used at a given intensity.,Either merge with Course 1 or make this lesson explicitly about flexible fuel use across intensities. Avoid presenting the body as switching exclusively between carbs and fat.,https://wellsnaxteam.github.io/curriculum/hs-5-2.html,Open
High School,5 – Daily Fueling Basics,3,Micronutrients for Function,High,Reading,This substantially duplicates Course 2 and risks repeating unsupported performance/appearance claims.,"Convert it into an applied synthesis lesson using food patterns and case studies, or remove it. Keep claims to established functions and avoid symptom diagnosis.",https://wellsnaxteam.github.io/curriculum/hs-5-3.html,Open
High School,5 – Daily Fueling Basics,4,"Pre, During, and Post Activity Fueling",Critical,Reading/activity,"Timing rules and quantities may be too prescriptive for all sports, body sizes and medical conditions.","Use broad examples based on time to activity and duration. Include gastrointestinal tolerance, heat, access and sport rules; refer individualized plans to a sports dietitian.",https://wellsnaxteam.github.io/curriculum/hs-5-4.html,Open
High School,5 – Daily Fueling Basics,5,Eating Habits Throughout the Day,High,Reading,"Rigid meal frequency and timing may be presented as required and can conflict with hunger cues, culture, school schedules or medical needs.",Teach regular access to nourishment and flexible planning. Avoid claiming everyone must eat every set number of hours.,https://wellsnaxteam.github.io/curriculum/hs-5-5.html,Open
High School,6 – Common Athlete Mistakes,1,Inadequate Protein and Poor Recovery,High,Reading/title,The title assumes recovery problems are caused by protein and may promote overconsumption.,"Rename “Protein, Total Energy and Recovery.” Explain that inadequate calories, carbohydrate, sleep, training load and injury also affect recovery.",https://wellsnaxteam.github.io/curriculum/hs-6-1.html,Open
High School,6 – Common Athlete Mistakes,2,Underfueling and Energy Deficiency,Critical,Reading/activity,"This topic is essential but high-risk; discussing RED-S, body weight or symptoms without safeguards can trigger or encourage self-diagnosis.","Use trauma-informed, non-weight-focused language. Include signs that require a trusted adult/health professional, confidentiality guidance and no personal intake/body assignments.",https://wellsnaxteam.github.io/curriculum/hs-6-2.html,Open
High School,6 – Common Athlete Mistakes,3,Overhydration and Dehydration,Critical,Reading: fluid/electrolyte guidance,Exact drinking schedules or sodium prescriptions can be unsafe; overhydration warning signs require medical escalation.,"Teach risk factors and emergency signs, not personal prescriptions. Follow school athletic trainer/medical protocols and state confusion, vomiting, collapse or seizures require emergency response.",https://wellsnaxteam.github.io/curriculum/hs-6-3.html,Open
High School,6 – Common Athlete Mistakes,4,Carbohydrates and Fuel Depletion,High,Reading/quiz,The lesson may frame low-carb intake as always a mistake and use advanced glycogen/oxidation claims without context.,"Explain that high-intensity and prolonged activity generally rely heavily on carbohydrate, but needs vary. Keep mechanisms age-appropriate and avoid diagnosing performance from one meal.",https://wellsnaxteam.github.io/curriculum/hs-6-4.html,Open
High School,6 – Common Athlete Mistakes,5,Micronutrient Deficiencies and Performance Impact,Critical,Reading/activity,"Students may self-diagnose iron, vitamin D or other deficiencies from fatigue or performance and start supplements.","State symptoms are nonspecific and diagnosis requires clinical assessment/labs. Use food-first prevention, identify higher-risk groups carefully, and explicitly prohibit self-supplementation based on the lesson.",https://wellsnaxteam.github.io/curriculum/hs-6-5.html,Open
